,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
101,28761.0,4841,2541,3,3,DP,11,3548.8273062705994,5350000,-98.12123052411945,50,0.23057948,-1.1269964,-0.40007663,0.4447432,0.98392826,-2.3841858e-07,-1.811718,-0.86456114,-0.4818521,-1.7270826,-1.3656228
102,85.0,278,171,2,2,DP,11,1117.6005880832672,1900000,-98.98139761318096,51,0.35345933,-0.9469549,-0.02297476,0.6035229,0.8524346,-7.1525574e-07,-3.2350903,-1.9268358,-0.77662605,-2.6421313,-2.4569514
103,28293.0,5299,2550,3,3,DP,11,1117.6005880832672,1900000,-98.98139761318096,51,0.35345933,-0.9469549,-0.02297476,0.6035229,0.8524346,-7.1525574e-07,-3.2350903,-1.9268358,-0.77662605,-2.6421313,-2.4569514
104,91.0,252,171,2,2,DP,11,1181.3687238693237,2000000,-99.39203006285348,52,0.36492,-0.96753705,-0.33682024,0.838997,0.9244714,-2.3841858e-07,-2.7287943,-1.6204352,-0.27105328,-1.7693214,-1.7647569
105,31149.0,4432,2835,3,3,DP,11,1181.3687238693237,2000000,-99.39203006285348,52,0.36492,-0.96753705,-0.33682024,0.838997,0.9244714,-2.3841858e-07,-2.7287943,-1.6204352,-0.27105328,-1.7693214,-1.7647569
106,90.0,305,175,2,2,DP,11,3130.169908285141,4800000,-95.85667472336607,53,0.40236408,-1.0670022,-0.36959612,0.48741266,0.7819046,-3.5762787e-07,-1.6604731,-0.8441923,-0.46724,-1.2659618,-1.2165276
107,31188.0,5124,2808,3,3,DP,11,3130.169908285141,4800000,-95.85667472336607,53,0.40236408,-1.0670022,-0.36959612,0.48741266,0.7819046,-3.5762787e-07,-1.6604731,-0.8441923,-0.46724,-1.2659618,-1.2165276
108,75.0,274,173,2,2,DP,11,1977.3216798305511,3200000,-98.77486941451494,54,0.6336339,-0.6914675,-0.20344667,0.7758526,0.78661156,-2.3841858e-07,-1.8948427,-0.818038,-0.37161976,-1.8282479,-1.175926
109,914.0,1046,661,3,3,DP,11,1977.3216798305511,3200000,-98.77486941451494,54,0.6336339,-0.6914675,-0.20344667,0.7758526,0.78661156,-2.3841858e-07,-1.8948427,-0.818038,-0.37161976,-1.8282479,-1.175926
110,87.0,284,175,2,2,DP,11,2505.911322593689,3950000,-100.70476712592765,55,0.4420379,-0.9644759,-0.5226494,0.5034298,0.909014,-4.7683716e-07,-1.955876,-1.1263913,-0.9732213,-2.148972,-1.3889153
